Instance,a, b, c, d, e, f, g, h
eil101,454,275,231,298,91,125,107,109
a280,1020,633,493,614,718,984,772,1376
att532,2219,1578,1297,1631,5339,6080,5006,5602
pr1002,6743,5797,3824,4424,39628,25900,21410,23377
d1291,7088,7268,6956,7409,95540,45515,40319,46100
d1655,11102,13555,12222,14298,197076,104244,89109,98342
d2103,14706,19822,19082,19785,367981,140303,126630,139569
pcb3038,24887,52771,49327,54765,1085717,579399,520704,730849
rl5915,125805,198356,188176,198295,,,,
rl11849,913566,1084582,1026429,1046155,,,,
Average,8527,12712,11679,12903,0,0,0,0
